snapshot_date,asin,brand,product_name,category,current_price,list_price,current_rating,review_count,sales_rank,price_change_30d,review_count_change_30d,rating_change_30d,source_note
2026-05-19,B0SHARKVAC1,Shark,Shark Cordless Detect Pro,Vacuum,339.99,349.99,4.2,18422,30,-10.0,0,0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-16,B0NINJABLDR,Ninja,Ninja Foodi Power Blender,Blender,129.99,159.99,4.3,24248,23,-30.0,2368,0.0,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-23,B0NINJABLDR,Ninja,Ninja Foodi Power Blender,Blender,169.99,159.99,4.4,23840,23,10.0,1960,-0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-05-19,B0VITAMIXE,Vitamix,Vitamix Explorian,Blender,339.99,349.99,4.5,28760,24,-10.0,0,0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-05-26,B0VITAMIXE,Vitamix,Vitamix Explorian,Blender,319.99,349.99,4.5,29162,14,-30.0,402,0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-02,B0VITAMIXE,Vitamix,Vitamix Explorian,Blender,364.99,349.99,4.6,29882,15,15.0,1122,0.0,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-09,B0VITAMIXE,Vitamix,Vitamix Explorian,Blender,339.99,349.99,4.5,29297,24,-10.0,537,0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-16,B0VITAMIXE,Vitamix,Vitamix Explorian,Blender,339.99,349.99,4.7,29308,11,-10.0,548,0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-23,B0VITAMIXE,Vitamix,Vitamix Explorian,Blender,359.99,349.99,4.6,29240,23,10.0,480,-0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-05-19,B0KEURIGKE,Keurig,Keurig K-Elite Coffee Maker,Coffee Maker,164.99,149.99,4.6,46920,16,15.0,0,-0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-05-26,B0KEURIGKE,Keurig,Keurig K-Elite Coffee Maker,Coffee Maker,164.99,149.99,4.5,47468,6,15.0,548,0.0,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-02,B0KEURIGKE,Keurig,Keurig K-Elite Coffee Maker,Coffee Maker,139.99,149.99,4.6,47524,16,-10.0,604,-0.1,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-09,B0KEURIGKE,Keurig,Keurig K-Elite Coffee Maker,Coffee Maker,164.99,149.99,4.6,48663,13,15.0,1743,0.0,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-16,B0KEURIGKE,Keurig,Keurig K-Elite Coffee Maker,Coffee Maker,149.99,149.99,4.5,48012,5,0.0,1092,0.0,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
2026-06-23,B0KEURIGKE,Keurig,Keurig K-Elite Coffee Maker,Coffee Maker,119.99,149.99,4.6,49605,6,-30.0,2685,0.0,Sample API-ready marketplace metrics; designed for Keepa/API ingestion
